model_a,model_b,outcome
gpt-ish,llama-ish,b
gpt-ish,llama-ish,a
gpt-ish,llama-ish,b
gpt-ish,llama-ish,b
gpt-ish,llama-ish,b
gpt-ish,llama-ish,a
gpt-ish,llama-ish,tie
gpt-ish,llama-ish,b
gpt-ish,llama-ish,a
gpt-ish,llama-ish,a
gpt-ish,llama-ish,a
gpt-ish,llama-ish,a
gpt-ish,llama-ish,tie
gpt-ish,llama-ish,a
gpt-ish,llama-ish,tie
gpt-ish,llama-ish,b
gpt-ish,llama-ish,a
gpt-ish,llama-ish,a
gpt-ish,llama-ish,a
gpt-ish,llama-ish,b
gpt-ish,llama-ish,tie
gpt-ish,llama-ish,b
gpt-ish,llama-ish,a
gpt-ish,llama-ish,tie
gpt-ish,llama-ish,a
gpt-ish,llama-ish,b
gpt-ish,llama-ish,b
gpt-ish,llama-ish,b
gpt-ish,mistral-ish,tie
gpt-ish,mistral-ish,tie
gpt-ish,mistral-ish,tie
gpt-ish,mistral-ish,a
gpt-ish,mistral-ish,a
gpt-ish,mistral-ish,a
gpt-ish,mistral-ish,a
gpt-ish,mistral-ish,a
gpt-ish,mistral-ish,tie
gpt-ish,mistral-ish,a
gpt-ish,mistral-ish,a
gpt-ish,mistral-ish,a
gpt-ish,mistral-ish,a
gpt-ish,mistral-ish,a
gpt-ish,mistral-ish,a
gpt-ish,mistral-ish,a
gpt-ish,mistral-ish,a
gpt-ish,mistral-ish,b
gpt-ish,mistral-ish,a
gpt-ish,mistral-ish,b
gpt-ish,mistral-ish,tie
gpt-ish,mistral-ish,a
gpt-ish,mistral-ish,a
gpt-ish,mistral-ish,a
gpt-ish,mistral-ish,a
gpt-ish,mistral-ish,a
gpt-ish,mistral-ish,a
gpt-ish,mistral-ish,b
gpt-ish,mistral-ish,tie
gpt-ish,mistral-ish,a
gpt-ish,mistral-ish,b
gpt-ish,mistral-ish,b
gpt-ish,mistral-ish,a
gpt-ish,mistral-ish,b
gpt-ish,mistral-ish,b
gpt-ish,mistral-ish,a
gpt-ish,mistral-ish,a
gpt-ish,mistral-ish,tie
gpt-ish,mistral-ish,a
gpt-ish,mistral-ish,a
gpt-ish,mistral-ish,a
gpt-ish,mistral-ish,tie
gpt-ish,mistral-ish,a
gpt-ish,mistral-ish,b
gpt-ish,mistral-ish,a
gpt-ish,mistral-ish,a
gpt-ish,mistral-ish,a
gpt-ish,mistral-ish,b
gpt-ish,mistral-ish,a
gpt-ish,mistral-ish,a
gpt-ish,mistral-ish,a
gpt-ish,mistral-ish,tie
gpt-ish,mistral-ish,a
gpt-ish,mistral-ish,b
gpt-ish,mistral-ish,a
gpt-ish,mistral-ish,a
gpt-ish,mistral-ish,a
gpt-ish,mistral-ish,a
gpt-ish,mistral-ish,a
gpt-ish,mistral-ish,a
gpt-ish,small-ish,a
gpt-ish,small-ish,b
gpt-ish,small-ish,a
gpt-ish,small-ish,a
gpt-ish,small-ish,tie
gpt-ish,small-ish,a
gpt-ish,small-ish,a
gpt-ish,small-ish,tie
gpt-ish,small-ish,a
gpt-ish,small-ish,b
gpt-ish,small-ish,a
gpt-ish,small-ish,a
gpt-ish,small-ish,tie
gpt-ish,small-ish,a
gpt-ish,small-ish,a
gpt-ish,small-ish,a
gpt-ish,small-ish,a
gpt-ish,small-ish,a
gpt-ish,small-ish,tie
gpt-ish,small-ish,a
gpt-ish,small-ish,a
gpt-ish,small-ish,a
gpt-ish,small-ish,a
gpt-ish,small-ish,a
gpt-ish,small-ish,tie
gpt-ish,small-ish,a
gpt-ish,small-ish,a
gpt-ish,small-ish,b
gpt-ish,small-ish,a
gpt-ish,small-ish,a
gpt-ish,small-ish,a
gpt-ish,small-ish,a
gpt-ish,small-ish,a
gpt-ish,small-ish,a
gpt-ish,small-ish,a
gpt-ish,small-ish,tie
gpt-ish,small-ish,a
gpt-ish,small-ish,b
gpt-ish,small-ish,tie
gpt-ish,small-ish,tie
gpt-ish,small-ish,b
gpt-ish,small-ish,a
gpt-ish,small-ish,a
gpt-ish,small-ish,a
gpt-ish,small-ish,a
gpt-ish,small-ish,a
gpt-ish,small-ish,b
gpt-ish,small-ish,a
gpt-ish,small-ish,a
gpt-ish,small-ish,a
gpt-ish,small-ish,a
gpt-ish,small-ish,a
gpt-ish,small-ish,tie
gpt-ish,small-ish,a
gpt-ish,small-ish,a
gpt-ish,small-ish,a
gpt-ish,small-ish,a
gpt-ish,small-ish,a
gpt-ish,small-ish,a
gpt-ish,small-ish,b
claude-ish,llama-ish,a
claude-ish,llama-ish,a
claude-ish,llama-ish,a
claude-ish,llama-ish,b
claude-ish,llama-ish,a
claude-ish,llama-ish,a
claude-ish,llama-ish,b
claude-ish,llama-ish,a
claude-ish,llama-ish,b
claude-ish,llama-ish,tie
claude-ish,llama-ish,a
claude-ish,llama-ish,a
claude-ish,llama-ish,a
claude-ish,llama-ish,b
claude-ish,llama-ish,a
claude-ish,llama-ish,a
claude-ish,llama-ish,tie
claude-ish,llama-ish,b
claude-ish,llama-ish,a
claude-ish,llama-ish,a
claude-ish,llama-ish,a
claude-ish,llama-ish,a
claude-ish,llama-ish,a
claude-ish,llama-ish,a
claude-ish,llama-ish,a
claude-ish,llama-ish,a
claude-ish,llama-ish,a
claude-ish,llama-ish,a
claude-ish,llama-ish,a
claude-ish,llama-ish,a
claude-ish,llama-ish,b
claude-ish,llama-ish,a
claude-ish,llama-ish,a
claude-ish,llama-ish,b
claude-ish,llama-ish,a
claude-ish,llama-ish,b
claude-ish,llama-ish,a
claude-ish,llama-ish,a
claude-ish,llama-ish,a
claude-ish,llama-ish,a
claude-ish,llama-ish,a
claude-ish,llama-ish,tie
claude-ish,llama-ish,b
claude-ish,llama-ish,a
claude-ish,llama-ish,a
claude-ish,llama-ish,b
claude-ish,llama-ish,a
claude-ish,llama-ish,a
claude-ish,llama-ish,a
claude-ish,llama-ish,b
claude-ish,llama-ish,a
claude-ish,llama-ish,a
claude-ish,llama-ish,a
claude-ish,llama-ish,b
claude-ish,llama-ish,b
claude-ish,llama-ish,a
claude-ish,llama-ish,a
claude-ish,llama-ish,a
claude-ish,llama-ish,a
claude-ish,llama-ish,a
claude-ish,mistral-ish,b
claude-ish,mistral-ish,a
claude-ish,mistral-ish,tie
claude-ish,mistral-ish,tie
claude-ish,mistral-ish,a
claude-ish,mistral-ish,a
claude-ish,mistral-ish,a
claude-ish,mistral-ish,a
claude-ish,mistral-ish,a
claude-ish,mistral-ish,a
claude-ish,mistral-ish,a
claude-ish,mistral-ish,a
claude-ish,mistral-ish,tie
claude-ish,mistral-ish,a
claude-ish,mistral-ish,a
claude-ish,mistral-ish,tie
claude-ish,mistral-ish,tie
claude-ish,mistral-ish,b
claude-ish,mistral-ish,b
claude-ish,mistral-ish,a
claude-ish,mistral-ish,a
claude-ish,mistral-ish,b
claude-ish,mistral-ish,a
claude-ish,mistral-ish,a
claude-ish,mistral-ish,a
claude-ish,mistral-ish,a
claude-ish,mistral-ish,a
claude-ish,mistral-ish,a
claude-ish,mistral-ish,a
claude-ish,mistral-ish,a
claude-ish,mistral-ish,a
claude-ish,mistral-ish,a
claude-ish,mistral-ish,a
claude-ish,mistral-ish,a
claude-ish,mistral-ish,a
claude-ish,mistral-ish,a
claude-ish,mistral-ish,b
claude-ish,mistral-ish,a
claude-ish,mistral-ish,a
claude-ish,mistral-ish,a
claude-ish,mistral-ish,a
claude-ish,mistral-ish,a
claude-ish,mistral-ish,a
claude-ish,mistral-ish,a
claude-ish,mistral-ish,b
claude-ish,mistral-ish,a
claude-ish,mistral-ish,a
claude-ish,mistral-ish,a
claude-ish,mistral-ish,b
claude-ish,mistral-ish,b
claude-ish,mistral-ish,a
claude-ish,mistral-ish,tie
claude-ish,mistral-ish,a
claude-ish,mistral-ish,a
claude-ish,mistral-ish,a
claude-ish,mistral-ish,tie
claude-ish,mistral-ish,a
claude-ish,mistral-ish,a
claude-ish,mistral-ish,b
claude-ish,mistral-ish,b
claude-ish,small-ish,tie
claude-ish,small-ish,tie
claude-ish,small-ish,tie
claude-ish,small-ish,a
claude-ish,small-ish,a
claude-ish,small-ish,a
claude-ish,small-ish,a
claude-ish,small-ish,tie
claude-ish,small-ish,tie
claude-ish,small-ish,b
claude-ish,small-ish,a
claude-ish,small-ish,a
claude-ish,small-ish,a
claude-ish,small-ish,a
claude-ish,small-ish,a
claude-ish,small-ish,a
claude-ish,small-ish,a
claude-ish,small-ish,a
claude-ish,small-ish,a
claude-ish,small-ish,a
claude-ish,small-ish,a
claude-ish,small-ish,a
claude-ish,small-ish,a
claude-ish,small-ish,a
claude-ish,small-ish,b
claude-ish,small-ish,a
claude-ish,small-ish,tie
claude-ish,small-ish,a
claude-ish,small-ish,a
claude-ish,small-ish,a
claude-ish,small-ish,tie
claude-ish,small-ish,a
claude-ish,small-ish,a
claude-ish,small-ish,a
claude-ish,small-ish,a
claude-ish,small-ish,a
claude-ish,small-ish,a
claude-ish,small-ish,a
claude-ish,small-ish,a
claude-ish,small-ish,tie
claude-ish,small-ish,a
claude-ish,small-ish,tie
claude-ish,small-ish,a
claude-ish,small-ish,a
claude-ish,small-ish,a
claude-ish,small-ish,tie
claude-ish,small-ish,a
claude-ish,small-ish,a
claude-ish,small-ish,a
claude-ish,small-ish,b
claude-ish,small-ish,a
claude-ish,small-ish,a
claude-ish,small-ish,a
claude-ish,small-ish,a
claude-ish,small-ish,a
claude-ish,small-ish,a
claude-ish,small-ish,a
claude-ish,small-ish,tie
claude-ish,small-ish,tie
claude-ish,small-ish,a
llama-ish,mistral-ish,tie
llama-ish,mistral-ish,a
llama-ish,mistral-ish,a
llama-ish,mistral-ish,a
llama-ish,mistral-ish,a
llama-ish,mistral-ish,a
llama-ish,mistral-ish,tie
llama-ish,mistral-ish,b
llama-ish,mistral-ish,a
llama-ish,mistral-ish,a
llama-ish,mistral-ish,b
llama-ish,mistral-ish,a
llama-ish,mistral-ish,b
llama-ish,mistral-ish,tie
llama-ish,mistral-ish,a
llama-ish,mistral-ish,a
llama-ish,mistral-ish,a
llama-ish,mistral-ish,a
llama-ish,mistral-ish,a
llama-ish,mistral-ish,b
llama-ish,mistral-ish,b
llama-ish,mistral-ish,a
llama-ish,mistral-ish,b
llama-ish,mistral-ish,a
llama-ish,mistral-ish,tie
llama-ish,mistral-ish,tie
llama-ish,mistral-ish,a
llama-ish,mistral-ish,b
llama-ish,mistral-ish,a
llama-ish,mistral-ish,b
llama-ish,mistral-ish,tie
llama-ish,mistral-ish,a
llama-ish,mistral-ish,a
llama-ish,mistral-ish,a
llama-ish,mistral-ish,a
llama-ish,mistral-ish,b
llama-ish,mistral-ish,a
llama-ish,mistral-ish,a
llama-ish,mistral-ish,b
llama-ish,mistral-ish,b
llama-ish,mistral-ish,tie
llama-ish,mistral-ish,a
llama-ish,mistral-ish,a
llama-ish,mistral-ish,a
llama-ish,mistral-ish,a
llama-ish,mistral-ish,b
llama-ish,mistral-ish,b
llama-ish,mistral-ish,b
llama-ish,mistral-ish,b
llama-ish,mistral-ish,a
llama-ish,mistral-ish,a
llama-ish,mistral-ish,b
llama-ish,mistral-ish,a
llama-ish,mistral-ish,b
llama-ish,mistral-ish,b
llama-ish,mistral-ish,a
llama-ish,mistral-ish,b
llama-ish,mistral-ish,b
llama-ish,mistral-ish,a
llama-ish,mistral-ish,a
llama-ish,small-ish,b
llama-ish,small-ish,a
llama-ish,small-ish,b
llama-ish,small-ish,a
llama-ish,small-ish,a
llama-ish,small-ish,b
llama-ish,small-ish,a
llama-ish,small-ish,a
llama-ish,small-ish,a
llama-ish,small-ish,a
llama-ish,small-ish,a
llama-ish,small-ish,a
llama-ish,small-ish,a
llama-ish,small-ish,a
llama-ish,small-ish,a
llama-ish,small-ish,tie
llama-ish,small-ish,b
llama-ish,small-ish,a
llama-ish,small-ish,a
llama-ish,small-ish,a
llama-ish,small-ish,a
llama-ish,small-ish,tie
llama-ish,small-ish,a
llama-ish,small-ish,a
llama-ish,small-ish,b
llama-ish,small-ish,tie
llama-ish,small-ish,tie
llama-ish,small-ish,a
llama-ish,small-ish,a
llama-ish,small-ish,a
llama-ish,small-ish,a
llama-ish,small-ish,a
llama-ish,small-ish,a
llama-ish,small-ish,a
llama-ish,small-ish,a
llama-ish,small-ish,a
llama-ish,small-ish,a
llama-ish,small-ish,tie
llama-ish,small-ish,a
llama-ish,small-ish,a
llama-ish,small-ish,a
llama-ish,small-ish,a
llama-ish,small-ish,a
llama-ish,small-ish,a
llama-ish,small-ish,a
llama-ish,small-ish,b
llama-ish,small-ish,b
llama-ish,small-ish,tie
llama-ish,small-ish,b
llama-ish,small-ish,a
llama-ish,small-ish,b
llama-ish,small-ish,a
llama-ish,small-ish,a
llama-ish,small-ish,b
llama-ish,small-ish,tie
llama-ish,small-ish,a
llama-ish,small-ish,a
llama-ish,small-ish,a
llama-ish,small-ish,a
llama-ish,small-ish,a
mistral-ish,small-ish,a
mistral-ish,small-ish,a
mistral-ish,small-ish,tie
mistral-ish,small-ish,a
mistral-ish,small-ish,tie
mistral-ish,small-ish,a
mistral-ish,small-ish,tie
mistral-ish,small-ish,b
mistral-ish,small-ish,a
mistral-ish,small-ish,tie
mistral-ish,small-ish,a
mistral-ish,small-ish,a
mistral-ish,small-ish,tie
mistral-ish,small-ish,a
mistral-ish,small-ish,b
mistral-ish,small-ish,a
mistral-ish,small-ish,a
mistral-ish,small-ish,a
mistral-ish,small-ish,a
mistral-ish,small-ish,tie
mistral-ish,small-ish,a
mistral-ish,small-ish,b
mistral-ish,small-ish,b
mistral-ish,small-ish,a
mistral-ish,small-ish,a
mistral-ish,small-ish,a
mistral-ish,small-ish,a
mistral-ish,small-ish,a
mistral-ish,small-ish,a
mistral-ish,small-ish,a
mistral-ish,small-ish,b
mistral-ish,small-ish,b
mistral-ish,small-ish,b
mistral-ish,small-ish,b
mistral-ish,small-ish,a
mistral-ish,small-ish,b
mistral-ish,small-ish,tie
mistral-ish,small-ish,a
mistral-ish,small-ish,a
mistral-ish,small-ish,b
mistral-ish,small-ish,a
mistral-ish,small-ish,b
mistral-ish,small-ish,a
mistral-ish,small-ish,b
mistral-ish,small-ish,b
mistral-ish,small-ish,b
mistral-ish,small-ish,b
mistral-ish,small-ish,tie
mistral-ish,small-ish,tie
mistral-ish,small-ish,b
mistral-ish,small-ish,a
mistral-ish,small-ish,tie
mistral-ish,small-ish,a
mistral-ish,small-ish,tie
mistral-ish,small-ish,a
mistral-ish,small-ish,tie
mistral-ish,small-ish,a
mistral-ish,small-ish,tie
mistral-ish,small-ish,a
mistral-ish,small-ish,b
